"id","equipo_vhf_id","canal","tipo","created_at"
428,428,CPPL,Main,2026-01-08 16:26:28.094
429,429,CPPL,Standby,2026-01-08 16:26:30.185
430,430,CAUX,Main,2026-01-08 16:26:31.506
431,431,CAUX,Standby,2026-01-08 16:26:32.922
432,432,SMC,Main,2026-01-08 16:26:34.092
433,433,SMC,Standby,2026-01-08 16:26:35.095
434,434,ATIS,Main,2026-01-08 16:26:36.222
435,435,ATIS,Standby,2026-01-08 16:26:37.252
436,436,EMERG,Main,2026-01-08 16:26:38.262
437,437,EMERG,Standby,2026-01-08 16:26:39.290
438,438,IGU 1,Main,2026-01-08 16:26:40.599
439,439,IGU 1,Standby,2026-01-08 16:26:41.633
440,440,IGU 2,Main,2026-01-08 16:26:42.631
441,441,IGU 2,Standby,2026-01-08 16:26:43.393
442,442,CPPL,Main,2026-01-08 16:26:44.474
443,443,CPPL,Standby,2026-01-08 16:26:45.258
444,444,CAUX,Main,2026-01-08 16:26:45.964
445,445,CAUX,Standby,2026-01-08 16:26:46.723
446,446,EMERG,Main,2026-01-08 16:26:47.536
447,447,EMERG,Standby,2026-01-08 16:26:48.353
448,448,POS 1,Main,2026-01-08 16:26:48.986
449,449,POS 1,Standby,2026-01-08 16:26:49.754
450,450,POS 2,Main,2026-01-08 16:26:50.498
451,451,POS 2,Standby,2026-01-08 16:26:51.394
452,452,CPPL,Main,2026-01-08 16:26:52.511
453,453,CPPL,Standby,2026-01-08 16:26:53.262
454,454,CAUX,Main,2026-01-08 16:26:54.085
455,455,CAUX,Standby,2026-01-08 16:26:55.006
456,456,Uruguaiana,Main,2026-01-08 16:26:55.920
457,457,Uruguaiana,Standby,2026-01-08 16:26:56.653
458,458,EMERG,Main,2026-01-08 16:26:57.461
459,459,EMERG,Standby,2026-01-08 16:26:58.388
460,460,LIB 1,Main,2026-01-08 16:26:59.015
461,461,LIB 1,Standby,2026-01-08 16:26:59.916
462,462,LIB 2,Main,2026-01-08 16:27:00.736
463,463,LIB 2,Standby,2026-01-08 16:27:01.543
464,464,CPPL,Main,2026-01-08 16:27:02.502
465,465,CPPL,Standby,2026-01-08 16:27:03.712
466,466,CAUX,Main,2026-01-08 16:27:04.534
467,467,CAUX,Standby,2026-01-08 16:27:05.757
468,468,EMERG,Main,2026-01-08 16:27:06.603
469,469,EMERG,Standby,2026-01-08 16:27:07.413
470,470,RTA 1,Main,2026-01-08 16:27:08.330
471,471,RTA 1,Standby,2026-01-08 16:27:09.094
472,472,RTA 2,Main,2026-01-08 16:27:09.956
473,473,RTA 2,Standby,2026-01-08 16:27:10.788
474,474,CPPL,Main,2026-01-08 16:27:11.851
475,475,CPPL,Standby,2026-01-08 16:27:12.671
476,476,CAUX,Main,2026-01-08 16:27:13.649
477,477,CAUX,Standby,2026-01-08 16:27:14.462
478,478,EMERG,Main,2026-01-08 16:27:15.288
479,479,EMERG,Standby,2026-01-08 16:27:16.106
480,480,CPPL,Main,2026-01-08 16:27:17.229
